iata_code,city,country,latitude,longitude,altitude,timezone,dst,aggregate_code
CUL,Culiacan,Mexico,24.7645,-107.475,108.0,-7.0,S,0.0
XMN,Xiamen,China,24.544,118.128,59.0,8.0,U,0.0
KHV,Khabarovsk,Russia,48.528,135.188,244.0,11.0,N,0.0
LBV,Libreville,Gabon,0.4586,9.41228,39.0,1.0,N,0.0
KER,Kerman,Iran,30.2744,56.9511,5741.0,4.0,E,0.0
BDJ,Banjarmasin,Indonesia,-3.44236,114.763,66.0,8.0,N,0.0
BYK,Bouake,C\xf4te d\u2019Ivoire,7.7388,-5.07367,1230.0,0.0,N,0.0
BGA,Bucaramanga,Colombia,7.1265,-73.1848,3897.0,-5.0,U,0.0
KCH,Kuching,Malaysia,1.4847,110.347,89.0,8.0,N,0.0
LKE,Seattle,United States,47.629,-122.339,14.0,-7.0,A,0.0
ASM,Asmara,Eritrea,15.2919,38.9107,7661.0,3.0,U,0.0
SKO,Sokoto,Nigeria,12.9163,5.20719,1010.0,1.0,N,0.0
UDI,Uberlandia,Brazil,-18.8828,-48.2256,3094.0,-3.0,S,0.0
STI,Santiago,Dominican Republic,19.4061,-70.6047,565.0,-4.0,U,0.0
SCU,Santiago De Cuba,Cuba,19.9698,-75.8354,249.0,-5.0,U,0.0
SOC,Solo City,Indonesia,-7.51609,110.757,421.0,7.0,N,0.0
BHV,Bahawalpur,Pakistan,29.3481,71.718,392.0,5.0,N,0.0
RAO,Ribeirao Preto,Brazil,-21.1342,-47.7742,1802.0,-3.0,S,0.0
ADE,Aden,Yemen,12.8295,45.0288,7.0,3.0,U,0.0
JMU,Jiamusi,China,46.8434,130.465,262.0,8.0,U,0.0
SLA,Salta,Argentina,-24.856,-65.4862,4088.0,-3.0,N,0.0
SHJ,Sharjah,United Arab Emirates,25.3286,55.5172,111.0,4.0,U,0.0
DYU,Dushanbe,Tajikistan,38.5433,68.825,2575.0,5.0,U,0.0
CUN,Cancun,Mexico,21.0365,-86.8771,20.0,-6.0,S,0.0
YTY,Yangzhou,China,32.5617,119.715,7.0,8.0,N,0.0
